Identifiant du message;Date et heure de la publication;Date de début;Date de fin prévisionnelle;Type d'indisponibilité;Filière de production;Type d'évènement;Nom du groupe ou de la centrale de production;Code EIC du groupe ou de la centrale de production;Société;Code EIC de la société;Capacité installée;Capacité disponible;Capacité indisponible;Cause de l'arrêt;Remarques;Statut;Unité de mesure;Code localisation
04424_20130227T1808100000_002;27/02/2013 18:08;27/02/2013 18:11;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 2;17W100P100P0103Z;EDF;17X100A100R00182;1300;750;550;Divers;-;Inactive;MW;10YFR-RTE------C
04424_20130227T1808100000_001;27/02/2013 18:08;27/02/2013 18:00;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 2;17W100P100P0103Z;EDF;17X100A100R00182;1300;740;560;Divers;-;Inactive;MW;10YFR-RTE------C
7W100P100P0006X2702130726_002;27/02/2013 07:27;27/02/2013 07:26;28/02/2013 02:50;Indisponibilité fortuite;Charbon;Indisponibilité de production;HORNAING;17W100P100P0006X;GAZEL ENERGIE;17X100A100R0056V;240;0;240;Approvisionnement - Manutention du combustible;-;Active;MW;10YFR-RTE------C
7W100P100P0006X2702130726_001;27/02/2013 07:27;27/02/2013 07:26;;Indisponibilité fortuite;Charbon;Indisponibilité de production;HORNAING;17W100P100P0006X;GAZEL ENERGIE;17X100A100R0056V;240;0;240;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
04424_1362078655109-21200_003;28/02/2013 20:12;28/02/2013 20:10;28/02/2013 21:49;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;SUPER BISSORTE 2;17W100P100P0083F;EDF;17X100A100R00182;152;0;152;Contrôles - Commandes;-;Active;MW;10YFR-RTE------C
04424_1362078655109-21200_002;28/02/2013 20:12;28/02/2013 20:10;28/02/2013 21:49;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;SUPER BISSORTE 2;17W100P100P0083F;EDF;17X100A100R00182;152;0;152;Contrôles - Commandes;-;Inactive;MW;10YFR-RTE------C
04424_1362078655109-21200_001;28/02/2013 20:12;28/02/2013 20:10;;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;SUPER BISSORTE 2;17W100P100P0083F;EDF;17X100A100R00182;152;0;152;Contrôles - Commandes;-;Inactive;MW;10YFR-RTE------C
04424_1362082662468-91000_003;28/02/2013 21:20;28/02/2013 21:17;01/03/2013 00:12;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 1;17W100P100P0059C;EDF;17X100A100R00182;152;0;152;Divers;-;Active;MW;10YFR-RTE------C
04424_1362082662468-91000_002;28/02/2013 21:20;28/02/2013 21:17;01/03/2013 00:12;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 1;17W100P100P0059C;EDF;17X100A100R00182;152;0;152;Divers;-;Inactive;MW;10YFR-RTE------C
04424_1362082662468-91000_001;28/02/2013 21:20;28/02/2013 21:17;;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 1;17W100P100P0059C;EDF;17X100A100R00182;152;0;152;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
